EffectBase,Category,Levels,Overlap,Demerit,note
最大HP上昇,能力値,none,✕,FALSE,
最大FP上昇,能力値,none,✕,FALSE,
最大スタミナ上昇,能力値,none,✕,FALSE,
生命力,能力値,"＋１,＋２,＋３",〇,FALSE,
精神力,能力値,"＋１,＋２,＋３",〇,FALSE,
持久力,能力値,"＋１,＋２,＋３",〇,FALSE,
筋力,能力値,"＋１,＋２,＋３",〇,FALSE,
技量,能力値,"＋１,＋２,＋３",〇,FALSE,
知力,能力値,"＋１,＋２,＋３",〇,FALSE,
信仰,能力値,"＋１,＋２,＋３",〇,FALSE,
神秘,能力値,"＋１,＋２,＋３",〇,FALSE,
強靭度,能力値,"＋１,＋２,＋３",〇,FALSE,
魔術師塔の仕掛けが解除される度、最大FP上昇,能力値,none,✕,FALSE,
物理攻撃力上昇,攻擊力,"none,＋１,＋２",〇,FALSE,
魔力攻撃力上昇,攻擊力,"none,＋１,＋２",〇,FALSE,
炎攻撃力上昇,攻擊力,"none,＋１,＋２",〇,FALSE,
雷攻撃力上昇,攻擊力,"none,＋１,＋２",〇,FALSE,
聖攻撃力上昇,攻擊力,"none,＋１,＋２",〇,FALSE,
通常攻撃の1段目強化,攻擊力,none,〇,FALSE,
致命の一撃強化,攻擊力,"none,＋１",〇,FALSE,＋１は重ね掛け不可
咆哮とブレス強化,攻擊力,none,〇,FALSE,
両手持ちの、体勢を崩す力上昇,攻擊力,none,〇,FALSE,
二刀持ちの、体勢を崩す力上昇,攻擊力,none,〇,FALSE,
武器の持ち替え時、物理攻撃力上昇,攻擊力,none,✕,FALSE,
属性攻撃力が付加された時、属性攻撃力上昇,攻擊力,none,〇,FALSE,
攻撃を受けると攻撃力上昇,攻擊力,none,✕,FALSE,
封牢の囚を倒す度、攻撃力上昇,攻擊力,none,✕,FALSE,
夜の侵入者を倒す度、攻撃力上昇,攻擊力,none,✕,FALSE,
ガードカウンター強化,攻擊力,none,〇,FALSE,
ガードカウンターに、自身の現在HPの一部を加える,攻擊力,none,✕,FALSE,
脂アイテム使用時、追加で物理攻撃力上昇,攻擊力,none,△,FALSE,
投擲壺の攻撃力上昇,攻擊力,none,〇,FALSE,
投擲ナイフの攻撃力上昇,攻擊力,none,〇,FALSE,
輝石、重力石アイテムの攻撃力上昇,攻擊力,none,〇,FALSE,
調香術強化,攻擊力,none,〇,FALSE,
スキルクールタイム軽減,スキル／アーツ,"＋１,＋２,＋３",〇,FALSE,
アーツゲージ蓄積増加,スキル／アーツ,"＋１,＋２,＋３",〇,FALSE,
敵を倒した時のアーツゲージ蓄積増加,スキル／アーツ,none,△,FALSE,
致命の一撃で、アーツゲージ蓄積増加,スキル／アーツ,none,△,FALSE,
ガード成功時、アーツゲージを蓄積,スキル／アーツ,none,△,FALSE,
輝剣の魔術を強化,魔術／祈祷,none,〇,FALSE,
石掘りの魔術を強化,魔術／祈祷,none,〇,FALSE,
カーリアの剣の魔術を強化,魔術／祈祷,none,〇,FALSE,
不可視の魔術を強化,魔術／祈祷,none,〇,FALSE,
結晶人の魔術を強化,魔術／祈祷,none,〇,FALSE,
重力の魔術を強化,魔術／祈祷,none,〇,FALSE,
茨の魔術を強化,魔術／祈祷,none,〇,FALSE,
黄金律原理主義の祈祷を強化,魔術／祈祷,none,〇,FALSE,
王都古竜信仰の祈祷を強化,魔術／祈祷,none,〇,FALSE,
巨人の火の祈祷を強化,魔術／祈祷,none,〇,FALSE,
神狩りの祈祷を強化,魔術／祈祷,none,〇,FALSE,
獣の祈祷を強化,魔術／祈祷,none,〇,FALSE,
狂い火の祈祷を強化,魔術／祈祷,none,〇,FALSE,
竜餐の祈祷を強化,魔術／祈祷,none,〇,FALSE,
物理カット率上昇,カット率,none,✕,FALSE,
魔力カット率上昇,カット率,none,〇,FALSE,
炎カット率上昇,カット率,none,〇,FALSE,
雷カット率上昇,カット率,none,〇,FALSE,
聖カット率上昇,カット率,none,〇,FALSE,
HP低下時、カット率上昇,カット率,none,〇,FALSE,
ダメージで吹き飛ばされた時、強靭度とカット率上昇,カット率,none,✕,FALSE,
毒耐性上昇,状態異常耐性,none,〇,FALSE,
腐敗耐性上昇,状態異常耐性,none,〇,FALSE,
出血耐性上昇,状態異常耐性,none,〇,FALSE,
冷気耐性上昇,状態異常耐性,none,〇,FALSE,
睡眠耐性上昇,状態異常耐性,none,〇,FALSE,
発狂耐性上昇,状態異常耐性,none,〇,FALSE,
抗死耐性上昇,状態異常耐性,none,〇,FALSE,
HP持続回復,回復,none,〇,FALSE,
HP低下時、周囲の味方を含めHPをゆっくりと回復,回復,none,✕,FALSE,
ガード成功時、HPを回復,回復,none,✕,FALSE,
刺突カウンター発生時、HP回復,回復,none,△,FALSE,
ダメージを受けた直後、攻撃によりHPの一部を回復,回復,none,✕,FALSE,
苔薬などのアイテム使用でHP回復,回復,none,△,FALSE,
攻撃連続時、FP回復,回復,none,〇,FALSE,
発狂状態になると、FP持続回復,回復,none,〇,FALSE,
攻撃命中時、スタミナ回復,回復,"none,＋１",△,FALSE,
