EffectBase,Category,Levels,Overlap,Demerit,Existing,note
-,-,none,✕,FALSE,-,
最大HP上昇,能力値,none,〇,TRUE,,+10%
最大FP上昇,能力値,none,〇,TRUE,,15%
最大スタミナ上昇,能力値,none,〇,TRUE,,1.12倍
強靭度,能力値,＋３,〇,FALSE,〇,既存効果'+1~2は出ない
小砦の強敵を倒す度、取得ルーン増加、発見力上昇,能力値,none,✕,FALSE,,取得ルーン+5.5%
大教会の強敵を倒す度、最大HP上昇,能力値,none,✕,FALSE,,+5%
大野営地の強敵を倒す度、最大スタミナ上昇,能力値,none,✕,FALSE,,+7.5%
遺跡の強敵を倒す度、神秘上昇,能力値,none,✕,FALSE,,
物理攻撃力上昇,攻撃力,"none,＋１,＋２,＋３,＋４",〇,"＋３,＋４",,+3%/+4%/+5%/+8%/+10%
属性攻撃力上昇,攻撃力,"none,＋１,＋２",〇,"＋１,＋２",,+4%/+8%/+10%
魔力攻撃力上昇,攻撃力,"none,＋１,＋２,＋３,＋４",〇,"＋３,＋４",,+4%/+5%/+6%/+10%/+12%
炎攻撃力上昇,攻撃力,"none,＋１,＋２,＋３,＋４",〇,"＋３,＋４",,+4%/+5%/+6%/+10%/+12%
雷攻撃力上昇,攻撃力,"none,＋１,＋２,＋３,＋４",〇,"＋３,＋４",,+4%/+5%/+6%/+10%/+12%
聖攻撃力上昇,攻撃力,"none,＋１,＋２,＋３,＋４",〇,"＋３,＋４",,+4%/+5%/+6%/+10%/+12%
通常攻撃の1段目強化,攻撃力,none,〇,FALSE,〇,既存効果
致命の一撃強化,攻撃力,none,〇,FALSE,〇,既存効果
魔術強化,攻撃力,"none,＋１,＋２",〇,"＋１,＋２",,+4%/+8%/+10%
祈祷強化,攻撃力,"none,＋１,＋２",〇,"＋１,＋２",,+4%/+8%/+10%
ガードカウンター強化,攻撃力,"none,＋１,＋２",〇,"＋１,＋２",,+15%/+22%/+26%
ガードカウンターに、自身の現在HPの一部を加える,攻撃力,none,✕,FALSE,〇,既存効果
脂アイテム使用時、追加で物理攻撃力上昇,攻撃力,"none,＋１,＋２",〇,"＋１,＋２",,+10%/+17%/+20%
投擲壺の攻撃力上昇,攻撃力,"none,＋１",〇,FALSE,,約1.15倍/1.3倍
投擲ナイフの攻撃力上昇,攻撃力,"none,＋１",〇,FALSE,,約1.14倍/1.3倍
輝石、重力石アイテムの攻撃力上昇,攻撃力,"none,＋１",〇,FALSE,,約1.15倍/1.3倍
調香術強化,攻撃力,"none,＋１",〇,FALSE,,約1.14倍/1.3倍
敵を倒したときのアーツゲージ蓄積増加,スキル／アーツ,"none,＋１",△,＋１,,5%分/6.5%分
致命の一撃で、アーツゲージ蓄積増加,スキル／アーツ,"none,＋１",△,＋１,,5%分/6.5%分
ガード成功時、アーツゲージを蓄積,スキル／アーツ,"none,＋１",△,＋１,,1%分/1.5%分
輝剣の魔術を強化,魔術／祈祷,none,〇,FALSE,〇,既存効果+0のみ
石掘りの魔術を強化,魔術／祈祷,none,〇,FALSE,〇,既存効果+0のみ
カーリアの剣の魔術を強化,魔術／祈祷,none,〇,FALSE,〇,既存効果+0のみ
不可視の魔術を強化,魔術／祈祷,none,〇,FALSE,〇,既存効果+0のみ
結晶人の魔術を強化,魔術／祈祷,none,〇,FALSE,〇,既存効果+0のみ
重力の魔術を強化,魔術／祈祷,none,〇,FALSE,〇,既存効果+0のみ
茨の魔術を強化,魔術／祈祷,none,〇,FALSE,〇,既存効果+0のみ
黄金律原理主義の祈祷を強化,魔術／祈祷,none,〇,FALSE,〇,既存効果+0のみ
王都古竜信仰の祈祷を強化,魔術／祈祷,none,〇,FALSE,〇,既存効果+0のみ
巨人の火の祈祷を強化,魔術／祈祷,none,〇,FALSE,〇,既存効果+0のみ
神狩りの祈祷を強化,魔術／祈祷,none,〇,FALSE,〇,既存効果+0のみ
獣の祈祷を強化,魔術／祈祷,none,〇,FALSE,〇,既存効果+0のみ
狂い火の祈祷を強化,魔術／祈祷,none,〇,FALSE,〇,既存効果+0のみ
竜餐の祈祷を強化,魔術／祈祷,none,〇,FALSE,〇,既存効果+0のみ
物理カット率上昇,カット率,"＋１,＋２",〇,"＋１,＋２",,"約10%/約12%,+0は常夜カリゴ遺物限定"
属性カット率上昇,カット率,"none,＋１,＋２",〇,"＋１,＋２",,約6%/10%/12%
魔力カット率上昇,カット率,"none,＋１,＋２",〇,"＋１,＋２",,約10%/15%/16%
炎カット率上昇,カット率,"none,＋１,＋２",〇,"＋１,＋２",,約10%/15%/16%
雷カット率上昇,カット率,"none,＋１,＋２",〇,"＋１,＋２",,約10%/15%/16%
聖カット率上昇,カット率,"none,＋１,＋２",〇,"＋１,＋２",,約10%/15%/16%
HP低下時、カット率上昇,カット率,none,〇,FALSE,〇,既存効果
ダメージで吹き飛ばされた時、強靭度とカット率上昇,カット率,none,✕,FALSE,〇,既存効果
毒耐性上昇,状態異常耐性,"none,＋１",〇,FALSE,,+75/+110
腐敗耐性上昇,状態異常耐性,"none,＋１",〇,FALSE,,+75/+110
出血耐性上昇,状態異常耐性,"none,＋１",〇,FALSE,,+75/+110
冷気耐性上昇,状態異常耐性,"none,＋１",〇,FALSE,,+75/+110
睡眠耐性上昇,状態異常耐性,"none,＋１",〇,FALSE,,+75/+110
発狂耐性上昇,状態異常耐性,"none,＋１",〇,FALSE,,+75/+110
抗死耐性上昇,状態異常耐性,"none,＋１",〇,FALSE,,+75/+110
HP低下時、周囲の味方を含めHPをゆっくりと回復,回復,none,✕,FALSE,〇,既存効果
ガード成功時、HPを回復,回復,none,✕,FALSE,〇,既存効果
刺突カウンター発生時、HP回復,回復,"none,＋１",△,＋１,,"回復量は最大HP2.5%/3.3%,+値が違えば重複可"
ダメージを受けた直後、攻撃によりHPの一部を回復,回復,"none,＋１,＋２",△,"＋１,＋２",,"+1以上はピンクゲージの回復量が増加,回復量補正：0/+25％/+35％,+1と+2は重複可、同値は重複不可？(要検証),+0は補正0%なので他と重複しても効果無し"
苔薬などのアイテム使用でHP回復,回復,"none,＋１",△,FALSE,,"50/80回復,+値が違えば重複可"
聖杯瓶の回復量上昇,回復,none,〇,FALSE,,10%(乗算)
消費FP軽減,回復,none,〇,FALSE,,約7%
攻撃命中時、スタミナ回復,回復,none,✕,FALSE,〇,既存効果
致命の一撃で、スタミナ回復速度上昇,回復,"none,＋１",△,FALSE,,"約15%/25%　15秒間持続,+値が違えば重複可"
致命の一撃で、ルーンを取得,アクション,none,✕,FALSE,〇,既存効果
ガード中、敵に狙われやすくなる,アクション,none,△,FALSE,〇,"既存効果,祈祷「シャブリリの叫び」との重ね掛けは可能"
毒状態の敵に対する攻撃を強化,アクション,"none,＋１,＋２",△,"＋１,＋２",,"+10%/+16%/+20%,+値が違えば重複可"
腐敗状態の敵に対する攻撃を強化,アクション,"none,＋１,＋２",△,"＋１,＋２",,"+10%/+16%/+20%,+値が違えば重複可"
凍傷状態の敵に対する攻撃を強化,アクション,"none,＋１,＋２",△,"＋１,＋２",,"+10%/+16%/+20%,+値が違えば重複可"
周囲で睡眠状態の発生時、攻撃力上昇,アクション,"none,＋１",✕,＋１,,+12%/+22%
周囲で発狂状態の発生時、攻撃力上昇,アクション,"none,＋１",✕,＋１,,+12%/+22%
出撃時に「火花の香り」を持つ,出撃時のアイテム,none,〇,FALSE,,"2個,調香術強化の対象"
出撃時に「鉄壺の香薬」を持つ,出撃時のアイテム,none,〇,FALSE,,2個
出撃時に「高揚の香り」を持つ,出撃時のアイテム,none,〇,FALSE,,2個
出撃時に「酸の噴霧」を持つ,出撃時のアイテム,none,〇,FALSE,,2個
出撃時に「狂熱の香薬」を持つ,出撃時のアイテム,none,〇,FALSE,,2個
出撃時に「小さなポーチ」を持つ,出撃時のアイテム,none,〇,FALSE,〇,既存効果
