EffectBase,Category,Overlap,note
-,-,✕,-
生命力と神秘が低下,デメリット(能力値),〇,生命力-3 神秘-3？
筋力と知力が低下,デメリット(能力値),〇,-3ずつ、筋力低下によって、隠者と復讐者は一撃で火の戦車を倒すことができなくなる
技量と信仰が低下,デメリット(能力値),〇,-3ずつ
知力と技量が低下,デメリット(能力値),〇,-3ずつ
信仰と筋力が低下,デメリット(能力値),〇,-3ずつ、筋力低下によって、隠者と復讐者は一撃で火の戦車を倒すことができなくなる
取得ルーン減少,デメリット(能力値),〇,0.9倍
HP持続減少,デメリット(カット率),〇,2/sの持続ダメージ、同量以上の持続回復で相殺可能、相殺した場合、付帯効果の「HP最大時、○○」は維持可能、付帯効果のHP持続減少とは発生タイミングが異なる
すべての状態異常耐性低下,デメリット(カット率),〇,-80
聖杯瓶使用時、カット率低下,デメリット(カット率),〇,聖杯瓶を取り出して飲み終わるまでのモーション中が対象
回避直後の被ダメージ増加,デメリット(カット率),〇,回避モーションの全体フレームが該当、守護者のハイガード発動時のステップは適用されない、被ダメージ約1.4倍
回避連続時、カット率低下,デメリット(カット率),〇,回避後3秒以内にもう一度回避すると連続扱い、3回連続したと判定されると15秒間発生、バックステップは回避に認定されるが、守護者のハイガード発動時のステップは認定されない、時間内に再度発生すると効果が重複する、被ダメージ約1.4倍
被ダメージ時、毒を蓄積,デメリット(カット率),〇,1ヒット毎に65蓄積
被ダメージ時、腐敗を蓄積,デメリット(カット率),〇,1ヒット毎に55蓄積
被ダメージ時、出血を蓄積,デメリット(カット率),〇,1ヒット毎に55蓄積
被ダメージ時、冷気を蓄積,デメリット(カット率),〇,1ヒット毎に55蓄積
被ダメージ時、睡眠を蓄積,デメリット(カット率),〇,1ヒット毎に50蓄積
被ダメージ時、発狂を蓄積,デメリット(カット率),〇,1ヒット毎に50蓄積
被ダメージ時、死を蓄積,デメリット(カット率),〇,1ヒット毎に40蓄積
聖杯瓶の回復量低下,デメリット(アクション),〇,0.85倍(乗算)、潜在効果「聖杯瓶の回復が、ゆっくりになる」を取得した場合、回復量補正は即時回復部分にかかる(要検証)
アーツゲージ蓄積鈍化,デメリット(アクション),〇,時間経過による充填だけでなく、攻撃命中・敵撃破・致命の一撃により充填される分も対象
HP最大未満時、攻撃力低下,デメリット(アクション),〇,最大HP85%以下で発動、与ダメージ0.9倍ほどに低下
HP最大未満時、毒が蓄積,デメリット(アクション),〇,最大HP85%以下で発動、2/s
HP最大未満時、腐敗が蓄積,デメリット(アクション),〇,最大HP85%以下で発動、2/s
瀕死時、最大HP低下,デメリット(アクション),〇,瀕死時 = 瀕死ゲージが表示された時点、蘇生後60秒最大HP-25%、蘇生と瀕死を繰り返すと累算して更に最大HPが減る、低下の持続は時間経過以外で解除不可
